logth logp Brem DY
-7.175 -1.875 0.0 0.0
-7.175 -1.825 0.0 0.0
-7.175 -1.775 0.0 0.0
-7.175 -1.725 0.0 0.0
-7.175 -1.675 0.0 0.0
-7.175 -1.625 0.0 0.0
-7.175 -1.575 0.0 0.0
-7.175 -1.525 0.0 0.0
-7.175 -1.475 0.0 0.0
-7.175 -1.425 0.0 0.0
-7.175 -1.375 0.0 0.0
-7.175 -1.325 0.0 0.0
-7.175 -1.275 0.0 0.0
-7.175 -1.225 0.0 0.0
-7.175 -1.175 0.0 0.0
-7.175 -1.125 0.0 0.0
-7.175 -1.075 0.0 0.0
-7.175 -1.025 0.0 0.0
-7.175 -0.975 0.0 0.0
-7.175 -0.925 0.0 0.0
-7.175 -0.875 0.0 0.0
-7.175 -0.825 0.0 0.0
-7.175 -0.775 0.0 0.0
-7.175 -0.725 0.0 0.0
-7.175 -0.675 0.0 0.0
-7.175 -0.625 0.0 0.0
-7.175 -0.575 0.0 0.0
-7.175 -0.525 0.0 0.0
-7.175 -0.475 0.0 0.0
-7.175 -0.425 0.0 0.0
-7.175 -0.375 0.0 0.0
-7.175 -0.325 0.0 0.0
-7.175 -0.275 0.0 0.0
-7.175 -0.225 0.0 0.0
-7.175 -0.175 0.0 0.0
-7.175 -0.125 0.0 0.0
-7.175 -0.075 0.0 0.0
-7.175 -0.025 0.0 0.0
-7.175 0.025 0.0 0.0
-7.175 0.075 0.0 0.0
-7.175 0.125 0.0 0.0
-7.175 0.175 0.0 0.0
-7.175 0.225 0.0 0.0
-7.175 0.275 0.0 0.0
-7.175 0.325 0.0 0.0
-7.175 0.375 0.0 0.0
-7.175 0.425 0.0 0.0
-7.175 0.475 0.0 0.0
-7.175 0.525 0.0 0.0
-7.175 0.575 0.0 0.0
-7.175 0.625 0.0 0.0
-7.175 0.675 3.86522e-15 0.0
-7.175 0.725 5.08247e-15 0.0
-7.175 0.775 6.64982e-15 0.0
-7.175 0.825 8.65881e-15 0.0
-7.175 0.875 1.12237e-14 0.0
-7.175 0.925 1.44874e-14 0.0
-7.175 0.975 1.86289e-14 0.0
-7.175 1.025 2.38729e-14 0.0
-7.175 1.075 3.0502e-14 0.0
-7.175 1.125 3.88716e-14 0.0
-7.175 1.175 4.94291e-14 0.0
-7.175 1.225 6.2738e-14 0.0
-7.175 1.275 7.95078e-14 0.0
-7.175 1.325 1.00632e-13 0.0
-7.175 1.375 1.27236e-13 0.0
-7.175 1.425 1.60736e-13 0.0
-7.175 1.475 2.02916e-13 0.0
-7.175 1.525 2.56021e-13 0.0
-7.175 1.575 3.2288e-13 0.0
-7.175 1.625 4.07052e-13 0.0
-7.175 1.675 5.13017e-13 0.0
-7.175 1.725 6.46416e-13 0.0
-7.175 1.775 8.1435e-13 0.0
-7.175 1.825 1.02576e-12 0.0
-7.175 1.875 1.29189e-12 0.0
-7.175 1.925 1.62692e-12 0.0
-7.175 1.975 2.04866e-12 0.0
-7.175 2.025 2.57956e-12 0.0
-7.175 2.075 3.24788e-12 0.0
-7.175 2.125 4.08917e-12 0.0
-7.175 2.175 5.14819e-12 0.0
-7.175 2.225 6.48127e-12 0.0
-7.175 2.275 8.15933e-12 0.0
-7.175 2.325 1.02716e-11 0.0
-7.175 2.375 1.29305e-11 0.0
-7.175 2.425 1.62773e-11 0.0
-7.175 2.475 2.04901e-11 0.0
-7.175 2.525 2.57927e-11 0.0
-7.175 2.575 3.24674e-11 0.0
-7.175 2.625 4.08688e-11 0.0
-7.175 2.675 5.14438e-11 0.0
-7.175 2.725 6.4755e-11 0.0
-7.175 2.775 8.15104e-11 0.0
-7.175 2.825 1.02602e-10 0.0
-7.175 2.875 1.29154e-10 0.0
-7.175 2.925 1.62581e-10 0.0
-7.175 2.975 2.04668e-10 0.0
-7.175 3.025 2.57668e-10 0.0
-7.175 3.075 3.24424e-10 0.0
-7.175 3.125 4.08529e-10 0.0
-7.175 3.175 5.14534e-10 0.0
-7.175 3.225 6.48213e-10 0.0
-7.175 3.275 8.16912e-10 0.0
-7.175 3.325 1.03001e-09 0.0
-7.175 3.375 1.29956e-09 0.0
-7.175 3.425 1.64112e-09 0.0
-7.175 3.475 2.075e-09 0.0
-7.175 3.525 2.62799e-09 0.0
-7.175 3.575 3.33605e-09 0.0
-7.175 3.625 4.24848e-09 0.0
-7.175 3.675 5.43476e-09 0.0
-7.175 3.725 6.99646e-09 0.0
-7.175 3.775 9.08923e-09 0.0
-7.175 3.825 1.19662e-08 0.0
-7.175 3.875 1.60715e-08 0.0
-7.175 3.925 2.22661e-08 0.0
-7.175 3.975 3.24623e-08 0.0
-7.175 4.025 5.18876e-08 0.0
-7.175 4.075 1.01441e-07 0.0
-7.175 4.125 4.41967e-07 0.0
-7.175 4.175 0.0 0.0
-7.175 4.225 0.0 0.0
-7.175 4.275 0.0 0.0
-7.175 4.325 0.0 0.0
-7.175 4.375 0.0 0.0
-7.175 4.425 0.0 0.0
-7.175 4.475 0.0 0.0
-7.175 4.525 0.0 0.0
-7.175 4.575 0.0 0.0
-7.175 4.625 0.0 0.0
-7.175 4.675 0.0 0.0
-7.175 4.725 0.0 0.0
-7.175 4.775 0.0 0.0
-7.175 4.825 0.0 0.0
-7.175 4.875 0.0 0.0
-7.175 4.925 0.0 0.0
-7.175 4.975 0.0 0.0
-7.125 -1.975 0.0 0.0
-7.125 -1.925 0.0 0.0
-7.125 -1.875 0.0 0.0
-7.125 -1.825 0.0 0.0
-7.125 -1.775 0.0 0.0
-7.125 -1.725 0.0 0.0
-7.125 -1.675 0.0 0.0
-7.125 -1.625 0.0 0.0
-7.125 -1.575 0.0 0.0
-7.125 -1.525 0.0 0.0
-7.125 -1.475 0.0 0.0
-7.125 -1.425 0.0 0.0
-7.125 -1.375 0.0 0.0
-7.125 -1.325 0.0 0.0
-7.125 -1.275 0.0 0.0
-7.125 -1.225 0.0 0.0
-7.125 -1.175 0.0 0.0
-7.125 -1.125 0.0 0.0
-7.125 -1.075 0.0 0.0
-7.125 -1.025 0.0 0.0
-7.125 -0.975 0.0 0.0
-7.125 -0.925 0.0 0.0
-7.125 -0.875 0.0 0.0
-7.125 -0.825 0.0 0.0
-7.125 -0.775 0.0 0.0
-7.125 -0.725 0.0 0.0
-7.125 -0.675 0.0 0.0
-7.125 -0.625 0.0 0.0
-7.125 -0.575 0.0 0.0
-7.125 -0.525 0.0 0.0
-7.125 -0.475 0.0 0.0
-7.125 -0.425 0.0 0.0
-7.125 -0.375 0.0 0.0
-7.125 -0.325 0.0 0.0
-7.125 -0.275 0.0 0.0
-7.125 -0.225 0.0 0.0
-7.125 -0.175 0.0 0.0
-7.125 -0.125 0.0 0.0
-7.125 -0.075 0.0 0.0
-7.125 -0.025 0.0 0.0
-7.125 0.025 0.0 0.0
-7.125 0.075 0.0 0.0
-7.125 0.125 0.0 0.0
-7.125 0.175 0.0 0.0
-7.125 0.225 0.0 0.0
-7.125 0.275 0.0 0.0
-7.125 0.325 0.0 0.0
-7.125 0.375 0.0 0.0
-7.125 0.425 0.0 0.0
-7.125 0.475 0.0 0.0
