logth logp DY Brem
-7.175 -1.475 0.0 0.0
-7.175 -1.425 0.0 0.0
-7.175 -1.375 0.0 0.0
-7.175 -1.325 0.0 0.0
-7.175 -1.275 0.0 0.0
-7.175 -1.225 0.0 0.0
-7.175 -1.175 0.0 0.0
-7.175 -1.125 0.0 0.0
-7.175 -1.075 0.0 0.0
-7.175 -1.025 0.0 0.0
-7.175 -0.975 0.0 0.0
-7.175 -0.925 0.0 0.0
-7.175 -0.875 0.0 0.0
-7.175 -0.825 0.0 0.0
-7.175 -0.775 0.0 0.0
-7.175 -0.725 0.0 0.0
-7.175 -0.675 0.0 0.0
-7.175 -0.625 0.0 0.0
-7.175 -0.575 0.0 0.0
-7.175 -0.525 0.0 0.0
-7.175 -0.475 0.0 0.0
-7.175 -0.425 0.0 0.0
-7.175 -0.375 0.0 0.0
-7.175 -0.325 0.0 0.0
-7.175 -0.275 0.0 0.0
-7.175 -0.225 0.0 0.0
-7.175 -0.175 0.0 0.0
-7.175 -0.125 0.0 0.0
-7.175 -0.075 0.0 0.0
-7.175 -0.025 0.0 0.0
-7.175 0.025 0.0 0.0
-7.175 0.075 0.0 0.0
-7.175 0.125 0.0 0.0
-7.175 0.175 0.0 0.0
-7.175 0.225 0.0 0.0
-7.175 0.275 0.0 1.36963e-11
-7.175 0.325 0.0 1.80097e-11
-7.175 0.375 0.0 2.35637e-11
-7.175 0.425 0.0 3.06826e-11
-7.175 0.475 0.0 3.97715e-11
-7.175 0.525 0.0 5.13366e-11
-7.175 0.575 0.0 6.60124e-11
-7.175 0.625 0.0 8.45953e-11
-7.175 0.675 0.0 1.08087e-10
-7.175 0.725 0.0 1.37746e-10
-7.175 0.775 0.0 1.75159e-10
-7.175 0.825 0.0 2.22322e-10
-7.175 0.875 0.0 2.81751e-10
-7.175 0.925 0.0 3.56612e-10
-7.175 0.975 0.0 4.50893e-10
-7.175 1.025 0.0 5.69616e-10
-7.175 1.075 0.0 7.19104e-10
-7.175 1.125 0.0 9.07318e-10
-7.175 1.175 0.0 1.14428e-09
-7.175 1.225 0.0 1.44261e-09
-7.175 1.275 0.0 1.8182e-09
-7.175 1.325 0.0 2.29103e-09
-7.175 1.375 0.0 2.88631e-09
-7.175 1.425 0.0 3.63572e-09
-7.175 1.475 0.0 4.57916e-09
-7.175 1.525 0.0 5.76688e-09
-7.175 1.575 0.0 7.26213e-09
-7.175 1.625 0.0 9.14452e-09
-7.175 1.675 0.0 1.15143e-08
-7.175 1.725 0.0 1.44976e-08
-7.175 1.775 0.0 1.82534e-08
-7.175 1.825 0.0 2.29815e-08
-7.175 1.875 0.0 2.89338e-08
-7.175 1.925 0.0 3.64272e-08
-7.175 1.975 0.0 4.58606e-08
-7.175 2.025 0.0 5.77364e-08
-7.175 2.075 0.0 7.26867e-08
-7.175 2.125 0.0 9.15075e-08
-7.175 2.175 0.0 1.15201e-07
-7.175 2.225 0.0 1.45028e-07
-7.175 2.275 0.0 1.82577e-07
-7.175 2.325 0.0 2.29846e-07
-7.175 2.375 0.0 2.89352e-07
-7.175 2.425 0.0 3.64262e-07
-7.175 2.475 0.0 4.58562e-07
-7.175 2.525 0.0 5.77271e-07
-7.175 2.575 0.0 7.26707e-07
-7.175 2.625 0.0 9.14821e-07
-7.175 2.675 0.0 1.15162e-06
-7.175 2.725 0.0 1.44971e-06
-7.175 2.775 0.0 1.82493e-06
-7.175 2.825 0.0 2.29726e-06
-7.175 2.875 0.0 2.8918e-06
-7.175 2.925 0.0 3.64018e-06
-7.175 2.975 0.0 4.58218e-06
-7.175 3.025 0.0 5.76787e-06
-7.175 3.075 0.0 7.26028e-06
-7.175 3.125 0.0 9.13871e-06
-7.175 3.175 0.0 1.1503e-05
-7.175 3.225 0.0 1.44787e-05
-7.175 3.275 0.0 1.82238e-05
-7.175 3.325 0.0 2.29374e-05
-7.175 3.375 0.0 2.88696e-05
-7.175 3.425 0.0 3.63355e-05
-7.175 3.475 0.0 4.57315e-05
-7.175 3.525 0.0 5.75567e-05
-7.175 3.575 0.0 7.24394e-05
-7.175 3.625 0.0 9.11707e-05
-7.175 3.675 0.0 0.000114747
-7.175 3.725 0.0 0.000144426
-7.175 3.775 0.0 0.000181791
-7.175 3.825 0.0 0.000228844
-7.175 3.875 0.0 0.000288115
-7.175 3.925 0.0 0.000362811
-7.175 3.975 0.0 0.00045701
-7.175 4.025 0.0 0.000575912
-7.175 4.075 0.0 0.000726194
-7.175 4.125 0.0 0.000916497
-7.175 4.175 0.0 0.00115813
-7.175 4.225 0.0 0.00146616
-7.175 4.275 0.0 0.00186111
-7.175 4.325 8154.47 0.00237194
-7.175 4.375 4077.24 0.00304148
-7.175 4.425 4077.24 0.00393738
-7.175 4.475 0.0 0.00517623
-7.175 4.525 0.0 0.00698261
-7.175 4.575 0.0 0.00985158
-7.175 4.625 0.0 0.0150532
-7.175 4.675 0.0 0.0260526
-7.175 4.725 0.0 0.0
-7.175 4.775 0.0 0.0
