logth logp Brem_QRA_L2.0 Brem_FWW Brem_QRA_L1.0 Brem_QRA_L1.5
-7.425 3.225 31.21556425912168 0.21333566430204232 0.636306466739751 8.97660534338676
-7.425 3.275 45.88400214673553 0.26144673060829765 1.2494834558710464 15.352382409202042
-7.425 3.325 64.53368807206742 0.31843782373931656 2.3941623306790016 25.09057722759542
-7.425 3.375 86.8378616267729 0.38517084836233495 4.441276087176084 38.964970400258515
-7.425 3.425 111.95241259194965 0.46254830130613955 7.911485028883404 57.300143256005185
-7.425 3.475 138.90509423585138 0.551930052033293 13.451334989202824 79.86390213296822
-7.425 3.525 167.81238443983779 0.6560394966548471 21.849097587828027 106.52271914222487
-7.425 3.575 202.61115651125047 0.7802957046988476 34.46028636111996 139.48714860613595
-7.425 3.625 256.03988316334437 0.9335952376386163 54.83637587574331 187.9400625574812
-7.425 3.675 356.73834054788745 1.1257157948484184 92.24874754839298 274.88024143177967
-7.425 3.725 555.2534666719197 1.3565129760560464 165.77278250917618 442.9844707872558
-7.425 3.775 917.5758149989965 1.5906371154558472 302.2382168052844 748.8629133914144
-7.425 3.825 1415.6990052437802 1.6260214549935423 491.85643497949445 1169.3061688455932
-7.425 3.875 0.0 0.0 0.0 0.0
-7.425 3.925 0.0 0.0 0.0 0.0
-7.425 3.975 0.0 0.0 0.0 0.0
-7.375 -1.975 0.0 0.0 0.0 0.0
-7.375 -1.925 0.0 0.0 0.0 0.0
-7.375 -1.875 0.0 0.0 0.0 0.0
-7.375 -1.825 0.0 0.0 0.0 0.0
-7.375 -1.775 0.0 0.0 0.0 0.0
-7.375 -1.725 0.0 0.0 0.0 0.0
-7.375 -1.675 0.0 0.0 0.0 0.0
-7.375 -1.625 0.0 0.0 0.0 0.0
-7.375 -1.575 0.0 0.0 0.0 0.0
-7.375 -1.525 0.0 0.0 0.0 0.0
-7.375 -1.475 0.0 0.0 0.0 0.0
-7.375 -1.425 0.0 0.0 0.0 0.0
-7.375 -1.375 0.0 0.0 0.0 0.0
-7.375 -1.325 0.0 0.0 0.0 0.0
-7.375 -1.275 0.0 0.0 0.0 0.0
-7.375 -1.225 0.0 0.0 0.0 0.0
-7.375 -1.175 0.0 0.0 0.0 0.0
-7.375 -1.125 0.0 0.0 0.0 0.0
-7.375 -1.075 0.0 0.0 0.0 0.0
-7.375 -1.025 0.0 0.0 0.0 0.0
-7.375 -0.975 0.0 0.0 0.0 0.0
-7.375 -0.925 0.0 0.0 0.0 0.0
-7.375 -0.875 0.0 0.0 0.0 0.0
-7.375 -0.825 0.0 0.0 0.0 0.0
-7.375 -0.775 0.0 0.0 0.0 0.0
-7.375 -0.725 0.0 0.0 0.0 0.0
-7.375 -0.675 0.0 0.0 0.0 0.0
-7.375 -0.625 0.0 0.0 0.0 0.0
-7.375 -0.575 0.0 0.0 0.0 0.0
